date,open,high,low,close,volume
2020-12-22,16.22,20.04,16.15,63.77,30687718.0
2020-12-21,15.81,16.348,15.28,53.5,9876128.0
2020-12-18,15.78,16.3,15.18,92.41,16618776.0
2020-12-17,13.96,14.98,13.59,90.0,8194902.0
2020-12-16,13.96,14.305,13.58,225.0,5865123.0
2020-12-15,12.78,14.02,12.48,325.0,8192856.0
2020-12-14,13.34,13.4335,12.14,193.6,10007092.0
2020-12-11,13.91,14.0,13.02,347.51,7496868.0
2020-12-10,13.12,14.41,13.05,147.98,7558922.0
2020-12-09,13.92,14.73,13.225,76.79,24357944.0
2020-12-08,16.37,17.21,15.93,65.01,16120163.0
2020-12-07,17.0,17.5,16.22,43.03,7386258.0
2020-12-04,16.3,17.29,16.26,39.12,8972672.0
2020-12-03,16.48,16.64,15.87,39.36,6294965.0
2020-12-02,15.7,16.68,15.38,35.5,7883380.0
2020-12-01,17.11,17.4,15.76,39.91,12260810.0
2020-11-30,18.17,19.42,16.5575,31.4,31983498.0
2020-11-27,15.29,16.74,14.88,19.95,12504197.0
2020-11-25,13.6,15.25,13.42,19.94,8860092.0
2020-11-24,14.23,14.26,13.3,17.69,7130536.0
2020-11-23,12.9,14.12,12.67,18.08,9607973.0
2020-11-20,12.55,13.46,12.54,18.36,8402347.0
2020-11-19,11.6,12.79,11.45,17.37,11787613.0
2020-11-18,11.8,12.04,11.56,17.25,3169222.0
2020-11-17,11.65,11.92,11.23,18.84,6678176.0
2020-11-16,11.16,12.6602,10.72,19.26,9774824.0
2020-11-13,11.36,11.55,11.0,19.38,3546171.0
2020-11-12,11.74,11.87,10.97,20.99,4355892.0
2020-11-11,11.5,11.95,11.21,20.15,4882569.0
2020-11-10,11.5,11.66,10.83,20.57,3825963.0
2020-11-09,12.76,12.93,11.25,19.46,6244865.0
2020-11-06,11.52,12.17,11.32,15.53,5518243.0
2020-11-05,11.27,11.84,11.06,15.63,4705245.0
2020-11-04,11.76,11.7699,10.61,14.83,5807871.0
2020-11-03,10.75,11.86,10.63,13.85,7454472.0
2020-11-02,10.82,11.09,10.5,13.85,5227011.0
2020-10-30,11.64,11.64,10.36,12.72,11562367.0
2020-10-29,11.88,12.25,11.6801,13.31,4165843.0
2020-10-28,12.27,13.05,11.78,14.12,6388580.0
2020-10-27,13.71,13.71,12.36,13.66,7231006.0
2020-10-26,14.93,15.45,13.26,16.94,13376269.0
2020-10-23,15.05,15.38,14.55,16.35,6507324.0
2020-10-22,14.2,15.87,14.19,16.9,16212232.0
2020-10-21,13.9,14.42,13.8,16.12,5361928.0
2020-10-20,14.03,14.143,13.665,16.58,6603951.0
2020-10-19,13.44,14.5,13.38,15.8,13169073.0
2020-10-16,13.77,13.9,13.08,16.56,11651578.0
2020-10-15,11.99,15.1,11.99,16.08,39894822.0
2020-10-14,12.67,12.68,12.05,14.75,10776762.0
2020-10-13,11.73,12.42,11.65,13.67,10179708.0
2020-10-12,11.66,12.7662,11.4,13.9,23655701.0
2020-10-09,12.83,14.8,11.9,12.71,77152780.0
2020-10-08,9.54,13.64,9.19,12.46,76453557.0
2020-10-07,9.23,9.56,9.1678,11.57,3308644.0
2020-10-06,9.56,9.835,9.1,11.63,4535421.0
2020-10-05,9.44,9.59,9.2502,12.06,2804969.0
2020-10-02,9.38,9.78,9.3,11.01,4340484.0
2020-10-01,10.09,10.25,9.69,11.13,4554055.0
2020-09-30,10.25,10.7597,10.06,11.75,6079033.0
2020-09-29,10.0,10.65,9.93,11.1,5244339.0
2020-09-28,10.16,10.26,9.55,11.49,6764323.0
2020-09-25,9.19,10.1826,9.1,11.86,7515157.0
2020-09-24,9.71,9.81,9.01,11.45,7938838.0
2020-09-23,10.6,10.86,9.92,10.91,10651152.0
2020-09-22,10.45,11.1699,9.9,11.57,34752484.0
2020-09-21,9.35,9.6,8.38,10.75,7639806.0
2020-09-18,9.2,9.77,8.91,10.47,17407513.0
2020-09-17,8.57,9.77,8.41,11.73,17026720.0
2020-09-16,7.03,9.04,7.03,11.82,19346508.0
2020-09-15,6.86,7.26,6.685,12.69,5743489.0
2020-09-14,6.8,7.0,6.43,13.45,10118972.0
2020-09-11,6.26,6.33,5.87,15.0,6061190.0
2020-09-10,6.65,6.95,6.19,14.91,15558278.0
2020-09-09,7.96,7.99,7.31,14.1,9068082.0
2020-09-08,7.55,8.28,7.48,13.86,9816620.0
2020-09-04,7.78,7.92,7.17,13.91,7661994.0
2020-09-03,7.88,8.45,7.24,13.31,14344502.0
2020-09-02,7.8,8.05,7.11,13.83,13011113.0
2020-09-01,7.3,7.82,6.77,12.25,23211046.0
2020-08-31,5.77,7.15,5.69,11.88,37975999.0
2020-08-28,5.3,5.565,5.215,11.8,4236926.0
2020-08-27,5.11,5.3799,5.02,12.02,3384658.0
2020-08-26,4.97,5.22,4.9199,13.49,2779664.0
2020-08-25,4.88,5.25,4.88,9.36,2998678.0
2020-08-24,5.1,5.13,4.56,9.13,4585366.0
2020-08-21,4.6,5.6,4.595,9.46,10642591.0
2020-08-20,4.62,4.68,4.51,9.39,2441184.0
2020-08-19,4.8,4.84,4.64,9.77,2612583.0
2020-08-18,4.61,4.87,4.435,10.2,3834840.0
2020-08-17,4.78,4.78,4.555,10.35,2366436.0
