date,open,high,low,close,volume
2020-12-22,10.33,10.3768,9.74,12.835,9424680.0
2020-12-21,10.33,10.5,10.08,12.595,6073025.0
2020-12-18,10.59,10.63,10.31,14.56,9450222.0
2020-12-17,10.44,10.75,10.16,15.09,6785583.0
2020-12-16,10.76,10.84,10.34,16.96,5895513.0
2020-12-15,10.84,10.96,10.45,12.75,8700887.0
2020-12-14,10.94,11.03,10.27,10.95,8980182.0
2020-12-11,11.3503,11.46,10.814,12.5,7160249.0
2020-12-10,11.3261,11.4299,11.07,10.58,6111260.0
2020-12-09,11.96,12.04,11.12,9.72,9984069.0
2020-12-08,12.0,12.26,11.45,9.0,12059228.0
2020-12-07,12.6764,12.88,11.97,9.1,10864501.0
2020-12-04,13.445,13.94,12.555,9.72,23507793.0
2020-12-03,12.2441,13.38,12.22,10.1,17858974.0
2020-12-02,12.02,12.27,11.5905,9.66,8819750.0
2020-12-01,12.3535,13.6,12.2,9.37,20155428.0
2020-11-30,12.29,12.79,11.57,9.225,23173490.0
2020-11-27,10.49,12.4,10.49,9.1,21178705.0
2020-11-25,10.1,11.09,10.05,9.085,11057299.0
2020-11-24,10.1,10.39,9.7393,9.22,9833899.0
2020-11-23,10.6299,10.6646,10.03,9.44,9520378.0
2020-11-20,11.4,11.5699,10.23,9.34,13900236.0
2020-11-19,11.29,11.47,10.92,9.26,5648416.0
2020-11-18,11.11,11.45,10.81,9.73,8419882.0
2020-11-17,12.3,12.43,11.6,8.85,10813747.0
2020-11-16,12.56,12.94,11.67,9.0,23253885.0
2020-11-13,11.39,11.5059,10.82,8.92,6940466.0
2020-11-12,10.95,12.4,10.8,9.6,17013495.0
2020-11-11,10.87,10.96,10.12,10.26,10620936.0
2020-11-10,8.99,11.6,8.9,10.07,35276840.0
2020-11-09,9.71,9.78,8.26,9.9,26526268.0
2020-11-06,10.6,10.68,10.26,10.33,4706926.0
2020-11-05,11.25,11.25,10.65,10.39,4743532.0
2020-11-04,10.21,10.98,10.21,10.72,5258016.0
2020-11-03,10.155,10.27,9.86,10.44,5004626.0
2020-11-02,9.9405,10.24,9.82,10.915,3830946.0
2020-10-30,10.38,10.59,9.72,10.41,7547230.0
2020-10-29,10.99,11.08,10.45,11.06,5195966.0
2020-10-28,10.81,11.05,10.31,11.36,5996323.0
2020-10-27,10.4653,11.2,10.35,11.43,7550274.0
2020-10-26,10.67,10.93,10.3411,11.95,4310054.0
2020-10-23,11.21,11.28,10.65,12.17,4109413.0
2020-10-22,10.37,11.35,10.28,12.6,7164732.0
2020-10-21,10.94,11.0,10.47,12.52,5930938.0
2020-10-20,11.43,11.4584,10.57,11.97,7536650.0
2020-10-19,11.9,11.98,11.25,12.42,5332711.0
2020-10-16,12.2,12.268,11.81,12.22,5084737.0
2020-10-15,12.07,12.24,11.57,12.26,5327285.0
2020-10-14,12.91,12.99,12.06,10.39,7247216.0
2020-10-13,12.44,13.08,12.4103,10.15,8994799.0
2020-10-12,12.25,12.6849,12.17,10.38,5964909.0
2020-10-09,12.45,12.4955,11.95,10.54,7002552.0
2020-10-08,12.69,12.8,12.35,11.02,5529925.0
2020-10-07,12.71,12.84,12.08,11.04,7825458.0
2020-10-06,11.89,13.11,11.89,11.7,16028570.0
2020-10-05,11.76,11.94,11.21,12.85,8493225.0
2020-10-02,11.85,12.2,11.53,11.22,10122292.0
2020-10-01,11.74,12.1,11.42,11.36,9599211.0
2020-09-30,11.2,11.84,11.1,10.72,14121604.0
2020-09-29,11.93,12.55,11.29,11.51,22947849.0
2020-09-28,10.63,13.8,10.28,8.5,66840724.0
