date,open,high,low,close,volume
2021-02-09,241.87,244.76,241.38,243.77,23471475.0
2021-02-08,243.15,243.68,240.81,242.47,22211929.0
2021-02-05,242.23,243.28,240.42,242.2,18054752.0
2021-02-04,242.66,243.2399,240.37,242.01,25296100.0
2021-02-03,239.57,245.09,239.26,243.0,27158104.0
2021-02-02,241.3,242.31,238.69,239.51,25678356.0
2021-02-01,235.06,242.5,232.43,239.65,33314193.0
2021-01-29,235.99,238.02,231.35,231.96,42503138.0
2021-01-28,235.61,242.64,235.09,238.93,49111159.0
2021-01-27,238.0,240.44,230.14,232.9,69870638.0
2021-01-26,231.86,234.18,230.08,232.33,49169601.0
2021-01-25,229.12,229.78,224.22,229.53,33152095.0
2021-01-22,227.08,230.07,225.8,225.95,30172663.0
2021-01-21,224.7,226.3,222.42,224.97,30749553.0
2021-01-20,217.7,225.79,217.2908,224.34,37777260.0
2021-01-19,213.75,216.98,212.63,216.44,30480859.0
2021-01-15,213.52,214.51,212.03,212.65,31746512.0
2021-01-14,215.91,217.46,212.74,213.02,29346737.0
2021-01-13,214.02,216.76,213.9266,216.34,20087080.0
2021-01-12,216.5,217.1,213.3202,214.93,23148341.0
2021-01-11,218.47,218.91,216.73,217.49,23047029.0
2021-01-08,218.68,220.58,217.0261,219.62,22956206.0
2021-01-07,214.04,219.34,213.71,218.29,27694480.0
2021-01-06,212.17,216.4899,211.94,212.25,35930653.0
2021-01-05,217.26,218.52,215.7,217.9,23822953.0
2021-01-04,222.53,223.0,214.81,217.69,37130139.0
2020-12-31,221.7,223.0,219.68,222.42,20942132.0
2020-12-30,225.23,225.63,221.47,221.68,20272337.0
2020-12-29,226.31,227.18,223.58,224.15,17403213.0
2020-12-28,224.45,226.03,223.02,224.96,17762701.0
