date,open,high,low,close,volume
2020-11-11,212.39,218.04,212.2,222.75,29440788.0
2020-11-10,214.5,216.5,209.72,221.02,44045120.0
2020-11-09,224.435,228.12,217.88,223.94,44394950.0
2020-11-06,222.26,224.36,218.03,222.59,25231895.0
2020-11-05,222.04,224.12,221.15,218.59,36080137.0
2020-11-04,214.02,218.32,212.4185,219.42,42311777.0
2020-11-03,203.89,208.12,203.12,219.28,27512030.0
2020-11-02,204.29,205.28,200.12,214.13,30842163.0
2020-10-30,203.5,204.29,199.62,214.2,36980111.0
2020-10-29,204.07,207.36,203.37,213.26,31432563.0
2020-10-28,207.67,208.84,202.1,210.52,51195593.0
2020-10-27,211.59,214.67,210.329,211.8,36700325.0
2020-10-26,213.85,216.3399,208.1,216.01,37111561.0
2020-10-23,215.03,216.28,213.16,214.29,18879608.0
2020-10-22,213.93,216.055,211.7,214.36,22351450.0
2020-10-21,213.12,216.92,213.12,214.24,22724906.0
2020-10-20,215.8,217.37,213.0901,215.37,22753511.0
2020-10-19,220.415,222.3,213.72,216.21,27625841.0
2020-10-16,220.15,222.29,219.32,214.07,26057882.0
2020-10-15,217.1,220.36,216.01,215.23,22733064.0
2020-10-14,223.0,224.22,219.13,213.87,23451713.0
2020-10-13,222.72,225.21,220.43,213.86,28950843.0
2020-10-12,218.79,223.86,216.81,210.11,40461368.0
2020-10-09,211.23,215.86,211.23,210.39,26458047.0
2020-10-08,210.51,211.19,208.32,212.42,19925837.0
2020-10-07,207.06,210.11,206.72,211.08,25681054.0
2020-10-06,208.82,210.18,204.82,214.46,28554261.0
2020-10-05,207.22,210.41,206.98,217.23,21331561.0
2020-10-02,208.0,210.99,205.54,216.51,33154781.0
2020-10-01,213.49,213.99,211.32,215.44,27158418.0
2020-09-30,207.73,211.98,206.54,216.55,33829088.0
2020-09-29,209.35,210.07,206.81,211.01,24464472.0
2020-09-28,210.88,212.57,208.06,218.39,32004936.0
2020-09-25,203.55,209.04,202.54,223.72,29437312.0
2020-09-24,199.85,205.57,199.2,223.29,31202493.0
2020-09-23,207.9,208.1,200.03,216.39,30803780.0
2020-09-22,205.06,208.1,202.075,206.43,33517065.0
2020-09-21,197.19,202.71,196.38,202.33,39839657.0
2020-09-18,202.8,203.65,196.25,202.47,55225326.0
2020-09-17,200.05,204.33,199.96,204.72,34011257.0
2020-09-16,210.62,210.65,204.64,202.68,26372464.0
2020-09-15,208.42,209.78,206.93,213.25,21823942.0
2020-09-14,204.24,209.2,204.03,210.08,30375768.0
2020-09-11,207.2,208.63,201.24,216.23,33620073.0
2020-09-10,213.4,214.74,204.11,214.89,35461514.0
2020-09-09,207.6,214.8399,206.7,214.8,45678986.0
2020-09-08,206.5,210.03,202.2,214.65,52924330.0
2020-09-04,215.1,218.3599,205.19,214.22,59664072.0
2020-09-03,229.27,229.31,214.9602,219.66,58400288.0
2020-09-02,227.97,232.86,227.35,219.66,34080839.0
2020-09-01,225.51,227.45,224.43,220.86,25791235.0
2020-08-31,227.0,228.7,224.31,222.86,28774156.0
2020-08-28,228.18,230.644,226.58,221.4,26292896.0
2020-08-27,222.89,231.15,219.4,215.81,57602195.0
2020-08-26,217.88,222.09,217.36,210.58,39600828.0
2020-08-25,213.1,216.61,213.1,209.83,23043696.0
2020-08-24,214.79,215.52,212.43,205.91,25460147.0
2020-08-21,213.86,216.25,212.85,210.38,36249319.0
2020-08-20,209.54,215.0,208.91,206.19,26981478.0
2020-08-19,211.49,212.1,209.25,212.46,27627561.0
2020-08-18,210.53,212.36,209.21,210.33,21336167.0
2020-08-17,209.6,211.1874,208.915,207.26,20063496.0
2020-08-14,208.76,209.59,207.51,209.44,17958936.0
2020-08-13,209.44,211.35,208.15,207.82,22588870.0
2020-08-12,205.29,210.28,204.75,203.19,28041364.0
2020-08-11,207.155,207.65,203.14,200.59,36446459.0
2020-08-10,211.67,211.88,206.35,207.42,36716462.0
2020-08-07,214.85,215.7,210.93,202.54,27820421.0
2020-08-06,212.34,216.3705,211.55,200.39,32656843.0
2020-08-05,214.9,215.0,211.57,202.91,28858621.0
2020-08-04,214.17,214.77,210.31,205.05,49280056.0
2020-08-03,211.52,217.64,210.44,208.78,78983009.0
2020-07-31,204.4,205.1,199.01,205.41,51247969.0
2020-07-30,201.0,204.46,199.57,204.03,25079596.0
2020-07-29,202.5,204.65,202.01,205.37,19632602.0
2020-07-28,203.61,204.7,201.74,211.29,23251388.0
2020-07-27,201.47,203.97,200.86,202.66,30160867.0
2020-07-24,200.42,202.86,197.51,214.25,39826989.0
2020-07-23,207.19,210.92,202.15,217.3,67457035.0
2020-07-22,209.2,212.3,208.39,231.65,49605692.0
2020-07-21,213.66,213.94,208.03,227.27,37702523.0
2020-07-20,205.0,212.3,203.01,225.53,36386080.0
2020-07-17,204.47,205.04,201.39,228.91,31636070.0
2020-07-16,205.4,205.7,202.31,226.58,29940718.0
2020-07-15,209.56,211.33,205.03,221.15,32248893.0
2020-07-14,206.13,208.85,202.03,216.47,37598121.0
2020-07-13,214.48,215.8,206.5,213.69,38135816.0
2020-07-10,213.62,214.08,211.08,213.02,26178663.0
2020-07-09,216.33,216.38,211.47,214.58,33122280.0
2020-07-08,210.07,213.26,208.69,209.7,33602226.0
2020-07-07,210.45,214.67,207.99,211.49,33600749.0
2020-07-06,208.83,211.13,208.09,210.28,32033747.0
2020-07-02,205.68,208.02,205.0,208.9,29322547.0
2020-07-01,203.14,206.35,201.77,208.7,32071431.0
2020-06-30,197.88,204.4,197.74,209.19,34310283.0
2020-06-29,195.78,198.53,193.55,203.38,26701586.0
2020-06-26,199.73,199.89,194.88,208.25,54675780.0
2020-06-25,197.8,200.61,195.47,212.48,27803933.0
2020-06-24,201.6,203.25,196.56,216.35,36740647.0
2020-06-23,202.09,203.95,201.43,212.94,30917447.0
2020-06-22,195.79,200.76,195.23,213.29,32818929.0
2020-06-19,198.59,199.29,194.37,216.54,44441141.0
2020-06-18,194.0,196.49,194.0,205.01,23061648.0
2020-06-17,195.03,196.32,193.69,203.9,25687822.0
2020-06-16,192.89,195.58,191.46,204.06,42556656.0
2020-06-15,184.58,190.82,184.01,202.02,32770189.0
2020-06-12,190.54,191.72,185.18,203.85,43373587.0
2020-06-11,193.13,195.76,186.07,201.3,52854672.0
2020-06-10,191.13,198.52,191.01,202.54,43872329.0
2020-06-09,188.0,190.7,187.26,211.75,29783916.0
2020-06-08,185.94,188.55,184.44,208.75,33211590.0
2020-06-05,182.62,187.73,182.01,211.6,39893643.0
2020-06-04,184.3,185.84,182.3,202.88,28761809.0
2020-06-03,184.82,185.94,183.58,203.92,27311016.0
2020-06-02,184.25,185.0,181.35,208.04,30794585.0
2020-06-01,182.54,183.0,181.46,208.35,22668821.0
2020-05-29,182.73,184.27,180.41,207.07,42146720.0
2020-05-28,180.74,184.15,180.38,213.67,33831824.0
2020-05-27,180.2,181.99,176.6,214.32,39517146.0
2020-05-26,186.34,186.5,181.1,212.83,36073609.0
2020-05-22,183.19,184.46,182.54,208.25,20826898.0
2020-05-21,185.4,186.67,183.29,210.7,29032741.0
2020-05-20,184.81,185.85,183.94,206.26,31261334.0
2020-05-19,185.03,186.6,183.49,204.7,26799116.0
2020-05-18,185.75,186.2,183.96,203.51,35306620.0
2020-05-15,179.06,187.06,177.0,198.44,46610382.0
2020-05-14,177.54,180.69,175.68,196.33,41873911.0
2020-05-13,182.55,184.05,176.54,200.34,44711488.0
2020-05-12,186.8,187.04,182.3,197.84,32038199.0
2020-05-11,183.15,187.51,182.85,201.91,30892660.0
2020-05-08,184.98,185.0,183.36,200.57,30912638.0
2020-05-07,184.17,184.55,182.58,195.15,28315992.0
2020-05-06,182.08,184.2,181.63,196.32,32139299.0
2020-05-05,180.62,183.65,179.9,194.24,36839168.0
2020-05-04,174.49,179.0,173.8,193.57,30372862.0
2020-05-01,175.8,178.64,174.01,188.94,39370474.0
2020-04-30,180.0,180.4,176.23,187.74,53875857.0
2020-04-29,173.22,177.68,171.88,186.27,51286559.0
2020-04-28,175.59,175.67,169.39,196.84,34392694.0
2020-04-27,176.59,176.9,173.3,189.8,33194384.0
2020-04-24,172.06,174.56,170.71,188.36,34305320.0
2020-04-23,174.11,175.06,170.91,187.2,32790804.0
2020-04-22,171.39,174.0,170.82,182.92,34651604.0
2020-04-21,173.5,173.67,166.11,185.36,56203749.0
2020-04-20,176.63,178.75,174.99,184.91,36669595.0
2020-04-17,179.5,180.0,175.87,182.83,52765625.0
2020-04-16,174.3,177.28,172.9,183.25,50479610.0
2020-04-15,171.2,173.57,169.24,181.4,40940833.0
2020-04-14,169.0,173.75,168.0,181.81,52874338.0
2020-04-13,164.35,165.57,162.3,181.57,41905264.0
2020-04-09,166.36,167.37,163.33,183.51,51431775.0
2020-04-08,165.67,166.67,163.5,183.43,48318234.0
2020-04-07,169.59,170.0,163.26,185.66,62769038.0
2020-04-06,160.32,166.5,157.58,183.63,67111697.0
2020-04-03,155.1,157.38,152.19,184.91,41243284.0
2020-04-02,151.86,155.48,150.36,183.16,49630735.0
2020-04-01,153.0,157.75,150.82,180.53,57969926.0
2020-03-31,159.4,164.78,156.56,179.75,77927186.0
2020-03-30,152.44,160.6,150.01,182.51,63420326.0
2020-03-27,151.75,154.89,149.2,186.74,57042291.0
2020-03-26,148.4,156.66,148.37,184.68,64694427.0
2020-03-25,148.91,154.33,144.44,183.6,75638224.0
2020-03-24,143.75,149.6,141.27,182.54,82516727.0
2020-03-23,137.01,140.57,132.52,180.76,78975176.0
2020-03-20,146.0,147.1,135.86,178.84,84866215.0
2020-03-19,142.77,150.15,139.0,174.57,85922661.0
2020-03-18,138.0,146.0,135.02,179.21,81593173.0
2020-03-17,140.0,147.5,135.0,177.43,81059817.0
2020-03-16,140.0,149.35,135.0,169.81,87905868.0
2020-03-13,147.5,161.91,140.73,174.05,92727446.0
2020-03-12,145.3,153.47,138.58,174.55,93226366.0
2020-03-11,157.13,157.7,151.15,171.42,56504304.0
2020-03-10,158.16,161.03,152.58,173.52,65354385.0
2020-03-09,151.0,157.75,150.0,167.82,70419274.0
2020-03-06,162.61,163.11,156.0,175.06,72821057.0
2020-03-05,166.05,170.87,165.69,178.6,47817251.0
2020-03-04,168.49,170.7,165.62,177.04,49814383.0
2020-03-03,173.8,175.0,162.26,171.88,71677019.0
2020-03-02,165.31,172.92,162.31,173.7,71030810.0
2020-02-28,152.41,163.71,152.0,165.51,97073557.0
2020-02-27,163.32,167.03,157.98,165.14,93174906.0
2020-02-26,169.71,173.26,168.21,165.13,56387148.0
2020-02-25,174.2,174.84,167.65,163.49,68073295.0
2020-02-24,167.77,174.55,163.23,165.27,68311066.0
2020-02-21,183.17,183.5,177.25,153.83,48600385.0
2020-02-20,186.95,187.25,181.1,155.26,36862376.0
2020-02-19,188.06,188.18,186.47,152.11,29997471.0
2020-02-18,185.61,187.7,185.5,157.71,27853113.0
2020-02-14,183.25,185.41,182.65,160.23,23149516.0
2020-02-13,183.08,186.23,182.87,149.7,35295834.0
2020-02-12,185.58,185.85,181.85,156.11,47062921.0
2020-02-11,190.65,190.7,183.5,146.92,53159906.0
2020-02-10,183.58,188.84,183.25,148.34,35844267.0
2020-02-07,182.85,185.63,182.48,135.98,33529074.0
2020-02-06,180.97,183.82,180.06,137.35,27751381.0
2020-02-05,184.03,184.2,178.41,142.71,39186324.0
2020-02-04,177.14,180.64,176.31,140.4,36433339.0
2020-02-03,170.43,174.5,170.4,146.57,30149052.0
2020-01-31,172.21,172.4,169.58,135.42,36142690.0
2020-01-30,174.05,174.05,170.79,158.83,51597470.0
