date,open,high,low,close,volume
2021-02-09,58.95,63.1,58.24,62.84,96407230.0
2021-02-08,57.08,59.52,56.18,59.07,64264889.0
2021-02-05,57.74,57.98,56.01,56.67,43057521.0
2021-02-04,58.79,59.1994,57.11,57.6,48667912.0
2021-02-03,55.96,58.72,54.84,57.98,80122323.0
2021-02-02,57.06,57.54,54.51,55.77,65568667.0
2021-02-01,59.07,59.12,54.37,56.99,79878684.0
2021-01-29,59.03,60.71,56.44,57.0,78678189.0
2021-01-28,56.76,59.46,55.15,58.37,73955136.0
2021-01-27,57.95,59.79,56.6,57.15,73078254.0
2021-01-26,60.04,60.67,58.64,60.31,70393251.0
2021-01-25,64.05,64.52,58.35,59.99,111986446.0
2021-01-22,58.95,62.17,58.32,61.95,133918072.0
2021-01-21,57.02,58.58,55.88,58.34,73119519.0
2021-01-20,59.85,60.09,56.19,57.71,94983634.0
2021-01-19,58.21,59.005,56.41,58.44,99561083.0
2021-01-15,59.84,60.22,55.67,56.27,132247850.0
2021-01-14,62.63,63.23,60.04,60.87,99338396.0
2021-01-13,62.94,64.4069,61.41,62.15,116059201.0
2021-01-12,61.42,64.13,60.42,62.04,182471404.0
2021-01-11,64.95,66.99,62.19,62.7,279770329.0
2021-01-08,57.76,59.31,55.88,58.92,218512753.0
2021-01-07,53.05,54.61,52.35,54.28,119429215.0
2021-01-06,54.02,55.2764,49.08,50.5,176397696.0
2021-01-05,51.97,53.75,50.4,53.2,147474785.0
2021-01-04,51.2,54.4469,50.6701,53.49,213109730.0
2020-12-31,48.46,50.5,47.77,48.74,129344311.0
2020-12-30,46.5,48.38,45.72,48.38,116691714.0
2020-12-29,43.7,46.275,42.2262,46.14,120689925.0
2020-12-28,46.67,46.85,43.67,44.06,103774840.0
